t (s);roll (deg);TL (%);TR (%)
163110696;13.2599945;45.22;34.77
163120696;13.110001;45.08;34.91
163130680;12.919998;44.87;35.12
163140672;12.699997;44.69;35.3
163150660;12.449997;44.49;35.5
163160660;12.179993;44.3;35.69
163170644;11.880005;44.06;35.93
163180640;11.559998;43.84;36.15
163190636;11.199997;43.59;36.4
163200644;10.809998;43.32;36.67
163210648;10.399994;43.08;36.91
163220612;9.979996;42.83;37.16
163230612;9.529999;42.57;37.42
163240604;9.050003;42.25;37.74
163250612;8.550003;41.99;38.0
163260592;8.029999;41.68;38.31
163270592;7.4900055;41.39;38.6
163280560;6.9400024;41.13;38.86
163290568;6.369995;40.82;39.17
163300544;5.779999;40.5;39.49
163310520;5.1799927;40.21;39.78
163320532;4.5700073;39.92;40.07
163330528;3.9600067;39.62;40.37
163340512;3.3200073;39.29;40.7
163350512;2.6799927;39.02;40.97
163360512;2.0399933;38.74;41.25
163370512;1.3899994;38.39;41.6
163380508;0.7299957;38.11;41.88
163390504;0.05999756;37.79;42.2
163400496;-0.6000061;37.56;42.43
163410488;-1.25;37.29;42.7
163420480;-1.8999939;37.0;42.99
163430444;-2.550003;36.73;43.26
163440460;-3.2100067;36.43;43.56
163450444;-3.8600006;36.21;43.78
163460436;-4.4900055;35.97;44.02
163470444;-5.119995;35.73;44.26
163480416;-5.7299957;35.52;44.47
163490412;-6.3099976;35.35;44.64
163500404;-6.880005;35.15;44.84
163510404;-7.4299927;35.02;44.97
163520404;-7.9799957;34.75;45.24
163530392;-8.5099945;34.59;45.4
163540380;-9.029999;34.43;45.56
163550376;-9.520004;34.28;45.71
163560348;-10.0;34.15;45.84
163570360;-10.440002;34.06;45.93
163580360;-10.860001;33.98;46.01
163590332;-11.2400055;33.91;46.08
163600348;-11.619995;33.79;46.2
163610332;-11.960007;33.75;46.24
163620328;-12.2599945;33.76;46.23
163630316;-12.539993;33.73;46.26
163640300;-12.789993;33.72;46.27
163650312;-13.0;33.75;46.24
163660304;-13.169998;33.79;46.2
163670292;-13.330002;33.79;46.2
163680292;-13.440002;33.89;46.1
163690264;-13.520004;33.98;46.01
163700276;-13.559998;34.08;45.91
163710244;-13.559998;34.19;45.8
163720252;-13.529999;34.32;45.67
163730240;-13.470001;34.45;45.54
163740220;-13.380005;34.6;45.39
163750208;-13.2400055;34.79;45.2
163760192;-13.089996;34.94;45.05
163770192;-12.899994;35.12;44.87
163780204;-12.669998;35.34;44.65
163790172;-12.419998;35.53;44.46
163800172;-12.139999;35.75;44.24
163810172;-11.830002;35.99;44.0
163820156;-11.5;36.2;43.79
163830156;-11.139999;36.45;43.54
