t (µs);roll (deg);T_sample (µs)
52645316;18,029999;9988,000
52655304;19,039993;9988,000
52665300;19,899994;9996,000
52675292;20,570007;9992,000
52685280;20,979996;9988,000
52695252;21,149994;9972,000
52705240;21,11;9988,000
52715220;20,880005;9980,000
52725212;20,449997;9992,000
52735204;19,800003;9992,000
52745200;18,940002;9996,000
52755180;17,89;9980,000
52765180;16,699997;10000,000
52775164;15,410004;9984,000
52785172;14,100006;10008,000
52795136;12,779999;9964,000
52805136;11,470001;10000,000
52815116;10,179993;9980,000
52825132;8,860001;10016,000
52835132;7,5099945;10000,000
52845128;6,1600037;9996,000
52855112;4,830002;9984,000
52865092;3,5200043;9980,000
52875096;2,2400055;10004,000
52885104;1,0200043;10008,000
52895096;-0,16000366;9992,000
52905104;-1,4400024;10008,000
52915060;-2,9199982;9956,000
52925052;-4,580002;9992,000
52935044;-6,3399963;9992,000
52945024;-8,070007;9980,000
52955016;-9,630005;9992,000
52965012;-10,899994;9996,000
52974992;-11,910004;9980,000
52984980;-12,649994;9988,000
52994976;-13,160004;9996,000
53004960;-13,470001;9984,000
53014964;-13,679993;10004,000
53024944;-13,839996;9980,000
53034932;-13,9900055;9988,000
53044944;-14,139999;10012,000
53054944;-14,2599945;10000,000
53064920;-14,330002;9976,000
53074932;-14,300003;10012,000
53084920;-14,139999;9988,000
53094904;-13,820007;9984,000
53104888;-13,300003;9984,000
53114888;-12,570007;10000,000
53124868;-11,600006;9980,000
53134884;-10,440002;10016,000
53144868;-9,089996;9984,000
53154864;-7,619995;9996,000
53164836;-6,1399994;9972,000
53174832;-4,7100067;9996,000
53184804;-3,350006;9972,000
53194796;-2,1399994;9992,000
53204800;-1,1300049;10004,000
53214796;-0,41999817;9996,000
53224796;-0,039993286;10000,000
53234788;0,039993286;9992,000
53244772;-0,13999939;9984,000
53254756;-0,4900055;9984,000
53264756;-0,94000244;10000,000
53274736;-1,449997;9980,000
53284732;-1,9600067;9996,000
53294728;-2,4400024;9996,000
53304724;-2,8399963;9996,000
53314700;-3,1699982;9976,000
53324688;-3,3899994;9988,000
53334664;-3,5200043;9976,000
53344688;-3,600006;10024,000
53354676;-3,6799927;9988,000
53364660;-3,7700043;9984,000
53374660;-3,899994;10000,000
53384652;-4,0599976;9992,000
53394632;-4,2899933;9980,000
